property,model,mae,rmse,r2,n_train,n_test
formation_energy_per_atom,RF,0.07464401718217983,0.13932011647228737,0.9809971076784215,36962,4731
formation_energy_per_atom,CGCNN,0.03405945003032684,0.0696957680475976,0.9952443838119507,36962,4731
formation_energy_per_atom,M3GNet,0.32103357031166857,0.40956853046508335,0.835772754214821,36962,4731
formation_energy_per_atom,TensorNet,5.599068067305191,7.5781204042706864,-55.22313422823408,36962,4731
voltage,RF,0.4514329168732019,0.6380489631955144,0.652912621032054,2934,368
voltage,CGCNN,0.49214497208595276,0.7279640543782763,0.5481953620910645,2934,368
voltage,M3GNet,6.251089987463892,6.355435775877312,-33.436695938566565,2934,368
voltage,TensorNet,34.420647548509,39.22951036680213,-1311.0687217058987,2934,368
capacity,RF,50.21888637535011,68.21505829872959,0.4302086704050796,2934,368
capacity,CGCNN,48.782100677490234,66.08548633328085,0.46522945165634155,2934,368
capacity,M3GNet,162.67328518140556,186.0788745272423,-3.239840005355682,2934,368
capacity,TensorNet,169.84718263843118,192.23491441589402,-3.52501334606701,2934,368
energy_above_hull,RF,0.027826509616431513,0.06829120711754631,0.3826128945756,34583,4405
energy_above_hull,CGCNN,0.021096285432577133,0.04836754294286254,0.6903036832809448,34583,4405
energy_above_hull,M3GNet,3.4988752232238323,3.610462074802823,-1724.6533176828384,34583,4405
energy_above_hull,TensorNet,29.730028412480266,42.52540877468884,-239399.45407916312,34583,4405
